연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
1,일반음식점,아너스,대구광역시 수성구 달구벌대로 2392 (범어동),대구광역시 수성구 범어동 561-1 ,276.14,053-742-2422,까페
2,일반음식점,포켓,대구 수성구 수성못2길 55 2층 더 포켓,대구광역시 수성구 두산동 653 ,41.88,053-763-2041,까페
3,일반음식점,치어스,대구광역시 수성구 범어천로 60 (범어동),대구광역시 수성구 범어동 774-32 ,31.16,053-766-6808,까페
4,일반음식점,열애,대구광역시 수성구 달구벌대로 3093 (시지동),대구광역시 수성구 시지동 135-14 ,142.8,053-792-2115,까페
5,일반음식점,스쿨,대구광역시 수성구 수성못2길 42 (두산동),대구광역시 수성구 두산동 715 ,195.68,053-764-1969,까페
6,일반음식점,솔거,"대구광역시 수성구 달구벌대로641길 27 (매호동,가동지하 101호)",대구광역시 수성구 매호동 1082-1 가동지하 101호 ,67.97,053-791-4332,까페
7,일반음식점,노랑통닭수성점,대구광역시 수성구 수성못길 6 (두산동),대구광역시 수성구 두산동 655-3 ,64.08,053-763-8118,까페
8,일반음식점,스탑바이검은구상,대구광역시 수성구 달구벌대로492길 3 (범어동),대구광역시 수성구 범어동 197-13 ,26.68,053-753-5062,까페
9,일반음식점,코모도,대구광역시 수성구 지범로 107 (지산동),대구광역시 수성구 지산동 1259-10 ,57.36,053-782-9989,까페
10,일반음식점,케이앤에스,대구광역시 수성구 범안로3길 63 (범물동),대구광역시 수성구 범물동 1338 ,43.5,053-784-4771,까페
11,일반음식점,볼륨호프,대구광역시 수성구 무학로21길 62 (두산동),대구광역시 수성구 두산동 188-1 ,119.02,053-766-4009,까페
12,일반음식점,부엉이,대구광역시 수성구 지범로 45-1 (지산동),대구광역시 수성구 지산동 1160-12 ,98.07,053-782-5799,까페
13,일반음식점,엽전레스토랑,대구광역시 수성구 희망로 206 (황금동),대구광역시 수성구 황금동 773-3 ,177.34,053-761-7200,까페
14,일반음식점,부메랑,"대구광역시 수성구 달구벌대로 2546, 지하1층 (범어동)",대구광역시 수성구 범어동 217-3 지하1층 ,111.02,053-753-0425,까페
