연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
1,휴게음식점,동원다방,"대구광역시 서구 문화로 273-1, 지하1층 (평리동)",대구광역시 서구 평리동 870-4 지하1 ,67.66, 053-527 -6063,커피숍
2,휴게음식점,이디야커피대구광장코아점,대구광역시 서구 달구벌대로 1703 (내당동),대구광역시 서구 내당동 463-34 ,46, 053- 525-5577,커피숍
3,휴게음식점,해리스카페 대구의료원점(Herry's cafe),대구광역시 서구 평리로 157 (중리동),대구광역시 서구 중리동 1162 ,13.6, 053- 525-7373,커피숍
4,휴게음식점,두류동커피,대구광역시 서구 달구벌대로 지하 1760 (내당동),대구광역시 서구 내당동 1290 E열 13호 ,42.57, 053- 627-0903,커피숍
5,휴게음식점,남양커피숍,대구광역시 서구 국채보상로 369 (비산동),대구광역시 서구 비산동 389-5 ,195.28,0053-0566-9957,커피숍
6,휴게음식점,카페 그란데,대구광역시 서구 달구벌대로 1727 (내당동),대구광역시 서구 내당동 468-1 ,53.52,0053-0525-9422,커피숍
7,휴게음식점,달서 CAFE 로뎀나무,대구광역시 서구 국채보상로 344 (비산동),대구광역시 서구 비산동 338-22 ,163.18, 053- 523-0691,커피숍
8,휴게음식점,해바라기다방,대구광역시 서구 서대구로62길 17 (비산동),대구광역시 서구 비산동 1326-8 ,22.94, 053- 356-0277,커피숍
9,휴게음식점,캐슬커피숍,대구광역시 서구 국채보상로 180 (중리동),대구광역시 서구 중리동 37-11 ,78.96, 053- 556-3132,커피숍
10,휴게음식점,커피라니에,"대구광역시 서구 국채보상로34길 12, 101호 (중리동,롯데캐슬상가)",대구광역시 서구 중리동 26-3 롯데캐슬상가 101호,42.12, 053- 526-1333,커피숍
11,휴게음식점,엔제리너스 대구 내당점,대구광역시 서구 달구벌대로 1813 (내당동),대구광역시 서구 내당동 65-5 ,367.8, 053- 523-3939,커피숍
12,휴게음식점,수정다방,"대구광역시 서구 서대구로 366-1 (비산동,2층)",대구광역시 서구 비산동 1252-3 2층 ,54.54, 053- 355-6319,커피숍
13,휴게음식점,커피프리,대구광역시 서구 문화로49길 2 (평리동),대구광역시 서구 평리동 1042-9 ,41.43,,커피숍
14,휴게음식점,카고커피,"대구광역시 서구 국채보상로 360, 1층 (비산동)",대구광역시 서구 비산동 333-6 ,40, 053- 551-2727,커피숍
15,휴게음식점,카페 놀이터,"대구광역시 서구 달구벌대로361길 9 (내당동,세신상가 1층)",대구광역시 서구 내당동 216-2 세신상가 1층 ,27.04, 053- 556-9998,커피숍
16,휴게음식점,카페코나,대구광역시 서구 달서로 252 (원대동1가),대구광역시 서구 원대동1가 140 ,22.5,,커피숍
17,휴게음식점,쇼넌(SCHONEN),대구광역시 서구 국채보상로49길 13-1 (평리동),대구광역시 서구 평리동 1089-27 ,51.15,,커피숍
